Level (in),Q (GPM)
nan,nan
-2.1,0
-2.09,0
-2.08,0
-2.07,0
-2.06,0
-2.05,0
-2.04,0
-2.03,0
-2.02,0
-2.01,0
-2,0
-1.99,0
-1.98,0
-1.97,0
-1.96,0
-1.95,0
-1.94,0
-1.93,0
-1.92,0
-1.91,0
-1.9,0
-1.89,0
-1.88,0
-1.87,0
-1.86,0
-1.85,0
-1.84,0
-1.83,0
-1.82,0
-1.81,0
-1.8,0
-1.79,0
-1.78,0
-1.77,0
-1.76,0
-1.75,0
-1.74,0
-1.73,0
-1.72,0
-1.71,0
-1.7,0
-1.69,0
-1.68,0
-1.67,0
-1.66,0
-1.65,0
-1.64,0
-1.63,0
-1.62,0
-1.61,0
-1.6,0
-1.59,0
-1.58,0
-1.57,0
-1.56,0
-1.55,0
-1.54,0
-1.53,0
-1.52,0
-1.51,0
-1.5,0
-1.49,0
-1.48,0
-1.47,0
-1.46,0
-1.45,0
-1.44,0
-1.43,0
-1.42,0
-1.41,0
-1.4,0
-1.39,0
-1.38,0
-1.37,0
-1.36,0
-1.35,0
-1.34,0
-1.33,0
-1.32,0
-1.31,0
-1.3,0
-1.29,0
-1.28,0
-1.27,0
-1.26,0
-1.25,0
-1.24,0
-1.23,0
-1.22,0
-1.21,0
-1.2,0
-1.19,0
-1.18,0
-1.17,0
-1.16,0
-1.15,0
-1.14,0
-1.13,0
-1.12,0
-1.11,0
-1.1,0
-1.09,0
-1.08,0
-1.07,0
-1.06,0
-1.05,0
-1.04,0
-1.03,0
-1.02,0
-1.01,0
-1,0
-0.99,0
-0.98,0
-0.97,0
-0.96,0
-0.95,0
-0.94,0
-0.93,0
-0.92,0
-0.91,0
-0.9,0
-0.89,0
-0.88,0
-0.87,0
-0.86,0
-0.85,0
-0.84,0
-0.83,0
-0.82,0
-0.81,0
-0.8,0
-0.79,0
-0.78,0
-0.77,0
-0.76,0
-0.75,0
-0.74,0
-0.73,0
-0.72,0
-0.71,0
-0.7,0
-0.69,0
-0.68,0
-0.67,0
-0.66,0
-0.65,0
-0.64,0
-0.63,0
-0.62,0
-0.61,0
-0.6,0
-0.59,0
-0.58,0
-0.57,0
-0.56,0
-0.55,0
-0.54,0
-0.53,0
-0.52,0
-0.51,0
-0.5,0
-0.49,0
-0.48,0
-0.47,0
-0.46,0
-0.45,0
-0.44,0
-0.43,0
-0.42,0
-0.41,0
-0.4,0
-0.39,0
-0.38,0
-0.37,0
-0.36,0
-0.35,0
-0.34,0
-0.33,0
-0.32,0
-0.31,0
-0.3,0
-0.29,0
-0.28,0
-0.27,0
-0.26,0
-0.25,0
-0.24,0
-0.23,0
-0.22,0
-0.21,0
-0.2,0
-0.19,0
-0.18,0
-0.17,0
-0.16,0
-0.15,0
-0.14,0
-0.13,0
-0.12,0
-0.11,0
-0.1,0
-0.09,0
-0.08,0
-0.07,0
-0.06,0
-0.05,0
-0.04,0
-0.03,0
-0.02,0
-0.01,0
0,0
0.01,0
0.02,0
0.03,0
0.04,0.001
0.05,0.001
0.06,0.002
0.07,0.003
0.08,0.004
0.09,0.005
0.1,0.007
0.11,0.009
0.12,0.011
0.13,0.014
0.14,0.016
0.15,0.02
0.16,0.023
0.17,0.027
0.18,0.031
0.19,0.035
0.2,0.04
0.21,0.045
0.22,0.051
0.23,0.057
0.24,0.063
0.25,0.07
0.26,0.078
0.27,0.085
0.28,0.093
0.29,0.102
0.3,0.111
0.31,0.12
0.32,0.13
0.33,0.141
0.34,0.152
0.35,0.163
0.36,0.175
0.37,0.187
0.38,0.2
0.39,0.214
0.4,0.228
0.41,0.242
0.42,0.257
0.43,0.273
0.44,0.289
0.45,0.306
0.46,0.323
0.47,0.341
0.48,0.359
0.49,0.378
0.5,0.398
0.51,0.418
0.52,0.439
0.53,0.46
0.54,0.482
0.55,0.505
0.56,0.528
0.57,0.552
0.58,0.576
0.59,0.601
0.6,0.627
0.61,0.654
0.62,0.681
0.63,0.709
0.64,0.737
0.65,0.766
0.66,0.796
0.67,0.827
0.68,0.858
0.69,0.89
0.7,0.922
0.71,0.955
0.72,0.989
0.73,1.024
0.74,1.06
0.75,1.096
0.76,1.133
0.77,1.17
0.78,1.209
0.79,1.248
0.8,1.288
0.81,1.328
0.82,1.37
0.83,1.412
0.84,1.455
0.85,1.498
0.86,1.543
0.87,1.588
0.88,1.634
0.89,1.681
0.9,1.729
0.91,1.777
0.92,1.826
0.93,1.876
0.94,1.927
0.95,1.979
0.96,2.031
0.97,2.084
0.98,2.139
0.99,2.194
1,2.306
1.01,2.364
1.02,2.422
1.03,2.481
1.04,2.541
1.05,2.602
1.06,2.664
1.07,2.727
1.08,2.79
1.09,2.855
1.1,2.92
1.11,2.986
1.12,3.053
1.13,3.121
1.14,3.19
1.15,3.26
1.16,3.331
1.17,3.402
1.18,3.475
1.19,3.548
1.2,3.623
1.21,3.698
1.22,3.774
1.23,3.851
1.24,3.93
1.25,4.009
1.26,4.089
1.27,4.17
1.28,4.252
1.29,4.334
1.3,4.418
1.31,4.503
1.32,4.589
1.33,4.676
1.34,4.763
1.35,4.852
1.36,4.942
1.37,5.032
1.38,5.124
1.39,5.217
1.4,5.31
1.41,5.405
1.42,5.501
1.43,5.597
1.44,5.695
1.45,5.794
1.46,5.893
1.47,5.994
1.48,6.096
1.49,6.199
1.5,6.302
1.51,6.407
1.52,6.513
1.53,6.62
1.54,6.728
1.55,6.837
1.56,6.947
1.57,7.059
1.58,7.171
1.59,7.284
1.6,7.398
1.61,7.514
1.62,7.63
1.63,7.748
1.64,7.866
1.65,7.986
1.66,8.107
1.67,8.229
1.68,8.352
1.69,8.476
1.7,8.601
1.71,8.728
1.72,8.855
1.73,8.983
1.74,9.113
1.75,9.244
1.76,9.376
1.77,9.509
1.78,9.643
1.79,9.778
1.8,9.914
1.81,10.052
1.82,10.191
1.83,10.33
1.84,10.471
1.85,10.613
1.86,10.757
1.87,10.901
1.88,11.046
1.89,11.193
1.9,11.341
1.91,11.49
1.92,11.64
1.93,11.792
1.94,11.944
1.95,12.098
1.96,12.253
1.97,12.409
1.98,12.566
1.99,12.725
2,12.884
2.01,13.045
2.02,13.207
2.03,13.37
2.04,13.535
2.05,13.701
2.06,13.867
2.07,14.036
2.08,14.205
2.09,14.375
2.1,14.547
2.11,14.72
2.12,14.894
2.13,15.07
2.14,15.246
2.15,15.424
2.16,15.603
2.17,15.784
2.18,15.965
2.19,16.148
2.2,16.332
2.21,16.518
2.22,16.704
2.23,16.892
2.24,17.082
2.25,17.272
2.26,17.464
2.27,17.657
2.28,17.851
2.29,18.046
2.3,18.243
2.31,18.441
2.32,18.641
2.33,18.841
2.34,19.043
2.35,19.246
2.36,19.451
2.37,19.657
2.38,19.864
2.39,20.072
2.4,20.282
2.41,20.493
2.42,20.705
2.43,20.919
2.44,21.134
2.45,21.35
2.46,21.568
2.47,21.787
2.48,22.007
2.49,22.229
2.5,22.452
2.51,22.676
2.52,22.902
2.53,23.129
2.54,23.357
2.55,23.587
2.56,23.818
2.57,24.05
2.58,24.284
2.59,24.519
2.6,24.755
2.61,24.993
2.62,25.232
2.63,25.473
2.64,25.715
2.65,25.958
2.66,26.203
2.67,26.449
2.68,26.696
2.69,26.945
2.7,27.195
2.71,27.447
2.72,27.7
2.73,27.954
2.74,28.21
2.75,28.467
2.76,28.726
2.77,28.986
2.78,29.247
2.79,29.51
2.8,29.774
2.81,30.039
2.82,30.307
2.83,30.575
2.84,30.845
2.85,31.116
2.86,31.389
2.87,31.663
2.88,31.938
2.89,32.216
2.9,32.494
2.91,32.774
2.92,33.055
2.93,33.338
2.94,33.622
2.95,33.908
2.96,34.195
2.97,34.483
2.98,34.773
2.99,35.065
3,35.358
3.01,35.652
3.02,35.948
3.03,36.245
3.04,36.544
3.05,36.845
3.06,37.146
3.07,37.45
3.08,37.754
3.09,38.06
3.1,38.368
3.11,38.677
3.12,38.988
3.13,39.3
3.14,39.614
3.15,39.929
3.16,40.246
3.17,40.564
3.18,40.883
3.19,41.205
3.2,41.527
3.21,41.851
3.22,42.177
3.23,42.504
3.24,42.833
3.25,43.163
3.26,43.495
3.27,43.828
3.28,44.163
3.29,44.499
3.3,44.837
3.31,45.177
3.32,45.518
3.33,45.86
3.34,46.204
3.35,46.55
3.36,46.897
3.37,47.246
3.38,47.596
3.39,47.948
3.4,48.301
3.41,48.656
3.42,49.012
3.43,49.37
3.44,49.73
3.45,50.091
3.46,50.454
3.47,50.818
3.48,51.184
3.49,51.551
3.5,51.92
3.51,52.291
3.52,52.663
3.53,53.037
3.54,53.412
3.55,53.789
3.56,54.168
3.57,54.548
3.58,54.93
3.59,55.313
3.6,55.698
3.61,56.084
3.62,56.472
3.63,56.862
3.64,57.254
3.65,57.646
3.66,58.041
3.67,58.437
3.68,58.835
3.69,59.234
3.7,59.635
3.71,60.038
3.72,60.442
3.73,60.848
3.74,61.256
3.75,61.665
3.76,62.076
3.77,62.488
3.78,62.903
3.79,63.318
3.8,63.736
3.81,64.155
3.82,64.575
3.83,64.998
3.84,65.422
3.85,65.847
3.86,66.275
3.87,66.704
3.88,67.134
3.89,67.566
3.9,68
3.91,68.436
3.92,68.873
3.93,69.312
3.94,69.753
3.95,70.195
3.96,70.639
3.97,71.085
3.98,71.532
3.99,71.981
4,72.432
4.01,72.884
4.02,73.339
4.03,73.794
4.04,74.252
4.05,74.711
4.06,75.172
4.07,75.635
4.08,76.099
4.09,76.565
4.1,77.033
4.11,77.502
4.12,77.973
4.13,78.446
4.14,78.921
4.15,79.397
4.16,79.875
4.17,80.355
4.18,80.836
4.19,81.319
4.2,81.804
4.21,82.291
4.22,82.779
4.23,83.269
4.24,83.761
4.25,84.255
4.26,84.75
4.27,85.247
4.28,85.746
4.29,86.246
4.3,86.749
4.31,87.253
4.32,87.759
4.33,88.266
4.34,88.775
4.35,89.287
4.36,89.799
4.37,90.314
4.38,90.83
4.39,91.349
4.4,91.868
4.41,92.39
4.42,92.914
4.43,93.439
4.44,93.966
4.45,94.495
4.46,95.025
4.47,95.558
4.48,96.092
4.49,96.628
4.5,97.165
4.51,97.705
4.52,98.246
4.53,98.789
4.54,99.334
4.55,99.881
4.56,100.429
4.57,100.98
4.58,101.532
4.59,102.086
4.6,102.641
4.61,103.199
4.62,103.758
4.63,104.319
4.64,104.882
4.65,105.447
4.66,106.014
4.67,106.582
4.68,107.152
4.69,107.725
4.7,108.298
4.71,108.874
4.72,109.452
4.73,110.031
4.74,110.612
4.75,111.196
4.76,111.78
4.77,112.367
4.78,112.956
4.79,113.546
4.8,114.139
4.81,114.733
4.82,115.329
4.83,115.927
4.84,116.526
4.85,117.128
4.86,117.731
4.87,118.337
4.88,118.944
4.89,119.553
4.9,120.164
4.91,120.777
4.92,121.391
4.93,122.008
4.94,122.626
4.95,123.246
4.96,123.868
4.97,124.493
4.98,125.118
4.99,125.746
5,126.376
5.01,127.007
5.02,127.641
5.03,128.276
5.04,128.913
5.05,129.553
5.06,130.194
5.07,130.837
5.08,131.481
5.09,132.128
5.1,132.777
5.11,133.427
5.12,134.08
5.13,134.734
5.14,135.39
5.15,136.049
5.16,136.709
5.17,137.371
5.18,138.035
5.19,138.701
5.2,139.368
5.21,140.038
5.22,140.71
5.23,141.383
5.24,142.059
5.25,142.736
5.26,143.416
5.27,144.097
5.28,144.78
5.29,145.465
5.3,146.152
5.31,146.842
5.32,147.533
5.33,148.226
5.34,148.92
5.35,149.617
5.36,150.316
5.37,151.017
5.38,151.72
5.39,152.424
5.4,153.131
5.41,153.84
5.42,154.55
5.43,155.263
5.44,155.977
5.45,156.694
5.46,157.412
5.47,158.133
5.48,158.855
5.49,159.579
5.5,160.306
5.51,161.034
5.52,161.764
5.53,162.497
5.54,163.231
5.55,163.967
5.56,164.705
5.57,165.446
5.58,166.188
5.59,166.932
5.6,167.678
5.61,168.427
5.62,169.177
5.63,169.929
5.64,170.683
5.65,171.44
5.66,172.198
5.67,172.958
5.68,173.72
5.69,174.485
5.7,175.251
5.71,176.019
5.72,176.789
5.73,177.562
5.74,178.336
5.75,179.113
5.76,179.891
5.77,180.671
5.78,181.454
5.79,182.238
5.8,183.025
5.81,183.813
5.82,184.604
5.83,185.397
5.84,186.191
5.85,186.988
5.86,187.787
5.87,188.588
5.88,189.39
5.89,190.195
5.9,191.002
5.91,191.811
5.92,192.622
5.93,193.435
5.94,194.251
5.95,195.068
5.96,195.887
5.97,196.708
5.98,197.532
5.99,198.357
6,199.185
6.01,200.014
6.02,200.846
6.03,201.68
6.04,202.516
6.05,203.353
6.06,204.193
6.07,205.035
6.08,205.88
6.09,206.726
6.1,207.574
6.11,208.424
6.12,209.277
6.13,210.131
6.14,210.988
6.15,211.847
6.16,212.708
6.17,213.57
6.18,214.435
6.19,215.303
6.2,216.172
6.21,217.043
6.22,217.916
6.23,218.792
6.24,219.67
6.25,220.549
6.26,221.431
6.27,222.315
6.28,223.201
6.29,224.089
6.3,224.98
6.31,225.872
6.32,226.767
6.33,227.663
6.34,228.562
6.35,229.463
6.36,230.366
6.37,231.271
6.38,232.179
6.39,233.088
6.4,234
6.41,234.913
6.42,235.829
6.43,236.747
6.44,237.667
6.45,238.589
6.46,239.514
6.47,240.44
6.48,241.369
6.49,242.3
6.5,243.233
6.51,244.168
6.52,245.105
6.53,246.045
6.54,246.986
6.55,247.93
6.56,248.876
6.57,249.824
6.58,250.775
6.59,251.727
6.6,252.682
6.61,253.638
6.62,254.597
6.63,255.558
6.64,256.522
6.65,257.487
6.66,258.455
6.67,259.425
6.68,260.397
6.69,261.371
6.7,262.347
6.71,263.326
6.72,264.306
6.73,265.289
6.74,266.274
6.75,267.262
6.76,268.251
6.77,269.243
6.78,270.237
6.79,271.233
6.8,272.231
6.81,273.232
6.82,274.234
6.83,275.239
6.84,276.246
6.85,277.256
6.86,278.267
6.87,279.281
6.88,280.297
6.89,281.315
6.9,282.335
6.91,283.358
6.92,284.383
6.93,285.41
6.94,286.439
6.95,287.47
6.96,288.504
6.97,289.54
6.98,290.578
6.99,291.618
7,292.661
7.01,293.706
7.02,294.753
7.03,295.802
7.04,296.854
7.05,297.908
7.06,298.964
7.07,300.022
7.08,301.082
7.09,302.145
7.1,303.21
7.11,304.278
7.12,305.347
7.13,306.419
7.14,307.493
7.15,308.569
7.16,309.648
7.17,310.728
7.18,311.812
7.19,312.897
7.2,313.984
7.21,315.074
7.22,316.166
7.23,317.261
7.24,318.357
7.25,319.456
7.26,320.557
7.27,321.661
7.28,322.767
7.29,323.875
7.3,324.985
7.31,326.098
7.32,327.212
7.33,328.33
7.34,329.449
7.35,330.571
7.36,331.695
7.37,332.821
7.38,333.95
7.39,335.081
7.4,336.214
7.41,337.349
7.42,338.487
7.43,339.627
7.44,340.769
7.45,341.914
7.46,343.061
7.47,344.21
7.48,345.362
7.49,346.516
7.5,347.672
7.51,348.831
7.52,349.991
7.53,351.155
7.54,352.32
7.55,353.488
7.56,354.658
7.57,355.83
7.58,357.005
7.59,358.182
7.6,359.361
7.61,360.543
7.62,361.727
7.63,362.914
7.64,364.102
7.65,365.293
7.66,366.487
7.67,367.682
7.68,368.881
7.69,370.081
7.7,371.284
7.71,372.489
7.72,373.696
7.73,374.906
7.74,376.118
7.75,377.332
7.76,378.549
7.77,379.768
7.78,380.99
7.79,382.214
7.8,383.44
7.81,384.669
7.82,385.9
7.83,387.133
7.84,388.369
7.85,389.607
7.86,390.847
7.87,392.09
7.88,393.335
7.89,394.582
7.9,395.832
7.91,397.084
7.92,398.339
7.93,399.596
7.94,400.855
7.95,402.117
7.96,403.381
7.97,404.648
7.98,405.917
7.99,407.188
8,408.462
8.01,409.738
8.02,411.016
8.03,412.297
8.04,413.58
8.05,414.866
8.06,416.154
8.07,417.444
8.08,418.737
8.09,420.032
8.1,421.33
8.11,422.63
8.12,423.932
8.13,425.237
8.14,426.544
8.15,427.854
8.16,429.166
8.17,430.48
8.18,431.797
8.19,433.116
8.2,434.438
8.21,435.762
8.22,437.089
8.23,438.418
8.24,439.749
8.25,441.083
8.26,442.419
8.27,443.758
8.28,445.099
8.29,446.442
8.3,447.788
8.31,449.136
8.32,450.487
8.33,451.84
8.34,453.196
8.35,454.554
8.36,455.915
8.37,457.278
8.38,458.643
8.39,460.011
8.4,461.381
8.41,462.754
8.42,464.129
8.43,465.507
8.44,466.887
8.45,468.269
8.46,469.654
8.47,471.042
8.48,472.432
8.49,473.824
8.5,475.219
8.51,476.616
8.52,478.016
8.53,479.418
8.54,480.823
8.55,482.23
8.56,483.64
8.57,485.052
8.58,486.466
8.59,487.883
8.6,489.303
8.61,490.725
8.62,492.149
8.63,493.576
8.64,495.006
8.65,496.438
8.66,497.872
8.67,499.309
8.68,500.748
8.69,502.19
8.7,503.634
8.71,505.081
8.72,506.53
8.73,507.982
8.74,509.436
8.75,510.893
8.76,512.353
8.77,513.814
8.78,515.279
8.79,516.745
8.8,518.215
8.81,519.686
8.82,521.161
8.83,522.637
8.84,524.117
8.85,525.599
8.86,527.083
8.87,528.57
8.88,530.059
8.89,531.551
8.9,533.045
8.91,534.542
8.92,536.042
8.93,537.544
8.94,539.048
8.95,540.555
8.96,542.065
8.97,543.577
8.98,545.091
8.99,546.608
9,548.128
9.01,549.65
9.02,551.175
9.03,552.702
9.04,554.232
9.05,555.764
9.06,557.299
9.07,558.836
9.08,560.376
9.09,561.919
9.1,563.464
9.11,565.011
9.12,566.561
9.13,568.114
9.14,569.669
9.15,571.227
9.16,572.787
9.17,574.35
9.18,575.915
9.19,577.483
9.2,579.054
9.21,580.627
9.22,582.203
9.23,583.781
9.24,585.362
9.25,586.945
9.26,588.531
9.27,590.119
9.28,591.71
9.29,593.304
9.3,594.9
9.31,596.499
9.32,598.1
9.33,599.704
9.34,601.311
9.35,602.92
9.36,604.531
9.37,606.146
9.38,607.762
9.39,609.382
9.4,611.004
9.41,612.628
9.42,614.256
9.43,615.885
9.44,617.518
9.45,619.153
9.46,620.79
9.47,622.43
9.48,624.073
9.49,625.718
9.5,627.366
9.51,629.017
9.52,630.67
9.53,632.326
9.54,633.984
9.55,635.645
9.56,637.309
9.57,638.975
9.58,640.643
9.59,642.315
9.6,643.989
9.61,645.666
9.62,647.345
9.63,649.027
9.64,650.711
9.65,652.398
9.66,654.088
9.67,655.78
9.68,657.475
9.69,659.173
9.7,660.873
9.71,662.576
9.72,664.281
9.73,665.989
9.74,667.7
9.75,669.413
9.76,671.129
9.77,672.848
9.78,674.569
9.79,676.293
9.8,678.02
9.81,679.749
9.82,681.481
9.83,683.215
9.84,684.953
9.85,686.692
9.86,688.435
9.87,690.18
9.88,691.928
9.89,693.678
9.9,695.431
9.91,697.187
9.92,698.945
9.93,700.706
9.94,702.47
9.95,704.236
9.96,706.005
9.97,707.777
9.98,709.551
9.99,711.328
10,713.108
10.01,714.89
10.02,716.675
10.03,718.463
10.04,720.253
10.05,722.046
10.06,723.842
10.07,725.64
10.08,727.441
10.09,729.245
10.1,731.051
10.11,732.86
10.12,734.672
10.13,736.487
10.14,738.304
10.15,740.123
10.16,741.946
10.17,743.771
10.18,745.599
10.19,747.43
10.2,749.263
10.21,751.099
10.22,752.938
10.23,754.779
10.24,756.623
10.25,758.47
10.26,760.319
10.27,762.171
10.28,764.026
10.29,765.884
10.3,767.744
10.31,769.607
10.32,771.473
10.33,773.341
10.34,775.213
10.35,777.086
10.36,778.963
10.37,780.842
10.38,782.724
10.39,784.609
10.4,786.496
10.41,788.387
10.42,790.279
10.43,792.175
10.44,794.073
10.45,795.974
10.46,797.878
10.47,799.785
10.48,801.694
10.49,803.606
10.5,805.521
10.51,807.438
10.52,809.358
10.53,811.281
10.54,813.207
10.55,815.135
10.56,817.066
10.57,819
10.58,820.937
10.59,822.876
10.6,824.818
10.61,826.763
10.62,828.711
10.63,830.661
10.64,832.614
10.65,834.57
10.66,836.529
10.67,838.49
10.68,840.454
10.69,842.421
10.7,844.391
10.71,846.363
10.72,848.339
10.73,850.317
10.74,852.297
10.75,854.281
10.76,856.267
10.77,858.256
10.78,860.248
10.79,862.242
10.8,864.24
10.81,866.24
10.82,868.243
10.83,870.248
10.84,872.257
10.85,874.268
10.86,876.282
10.87,878.299
10.88,880.318
10.89,882.34
10.9,884.365
10.91,886.393
10.92,888.424
10.93,890.458
10.94,892.494
10.95,894.533
10.96,896.575
10.97,898.619
10.98,900.667
10.99,902.717
11,904.77
11.01,906.826
11.02,908.884
11.03,910.946
11.04,913.01
11.05,915.077
11.06,917.147
11.07,919.22
11.08,921.295
11.09,923.373
11.1,925.454
11.11,927.538
11.12,929.625
11.13,931.715
11.14,933.807
11.15,935.902
11.16,938
11.17,940.101
11.18,942.204
11.19,944.311
11.2,946.42
11.21,948.532
11.22,950.647
11.23,952.765
11.24,954.885
11.25,957.009
11.26,959.135
11.27,961.264
11.28,963.396
11.29,965.531
11.3,967.668
11.31,969.808
11.32,971.952
11.33,974.098
11.34,976.247
11.35,978.398
11.36,980.553
11.37,982.71
11.38,984.871
11.39,987.034
11.4,989.2
11.41,991.369
11.42,993.54
11.43,995.715
11.44,997.892
11.45,1000.07
11.46,1002.26
11.47,1004.44
11.48,1006.63
11.49,1008.82
11.5,1011.02
11.51,1013.21
11.52,1015.41
11.53,1017.62
11.54,1019.82
11.55,1022.03
11.56,1024.24
11.57,1026.46
11.58,1028.68
11.59,1030.9
11.6,1033.12
11.61,1035.35
11.62,1037.57
11.63,1039.81
11.64,1042.04
11.65,1044.28
11.66,1046.52
11.67,1048.76
11.68,1051.01
11.69,1053.26
11.7,1055.51
11.71,1057.76
11.72,1060.02
11.73,1062.28
11.74,1064.55
11.75,1066.81
11.76,1069.08
11.77,1071.35
11.78,1073.63
11.79,1075.91
11.8,1078.19
11.81,1080.47
11.82,1082.76
11.83,1085.05
11.84,1087.34
11.85,1089.64
11.86,1091.93
11.87,1094.24
11.88,1096.54
11.89,1098.85
11.9,1101.16
11.91,1103.47
11.92,1105.79
11.93,1108.1
11.94,1110.43
11.95,1112.75
11.96,1115.08
11.97,1117.41
11.98,1119.74
11.99,1122.08
12,1124.42
12.01,1126.76
12.02,1129.1
12.03,1131.45
12.04,1133.8
12.05,1136.16
12.06,1138.51
12.07,1140.87
12.08,1143.24
12.09,1145.6
12.1,1147.97
12.11,1150.34
12.12,1152.71
12.13,1155.09
12.14,1157.47
12.15,1159.86
12.16,1162.24
12.17,1164.63
12.18,1167.02
12.19,1169.42
12.2,1171.82
12.21,1174.22
12.22,1176.62
12.23,1179.03
12.24,1181.44
12.25,1183.85
12.26,1186.26
12.27,1188.68
12.28,1191.1
12.29,1193.53
12.3,1195.96
12.31,1198.39
12.32,1200.82
12.33,1203.26
12.34,1205.69
12.35,1208.14
12.36,1210.58
12.37,1213.03
12.38,1215.48
12.39,1217.94
12.4,1220.39
12.41,1222.85
12.42,1225.31
12.43,1227.78
12.44,1230.25
12.45,1232.72
12.46,1235.2
12.47,1237.67
12.48,1240.16
12.49,1242.64
12.5,1245.13
12.51,1247.62
12.52,1250.11
12.53,1252.6
12.54,1255.1
